"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Nanzi	2.02	4.6	120.328289	22.733667	181005.9027	2514948.11	2
??	Zuoying	2.5	7.3	120.292917	22.674861	177341.558	2508453.136	2
??	Qianjin	2.78	8.4	120.2867611	22.63390278	176687.2193	2503920.683	2
??	Qianzhen	2.87	16.9	120.3083336	22.6044507	178889.5598	22.6044507	2
??	Xiaogang	1.5	5	120.337736	22.565833	181893.5435	2496358.931	2
??	Pingtung	2.96	10.1	120.488033	22.673081	197391.0605	2508173.804	2
??	Chaozhou	2.33	5.93	120.561175	22.523108	204858.2576	2491543.305	2
??	Hengchun	2.18	8.5	120.788928	21.958069	228199.9944	2428929.591	2
??	Taitung	2.53	10.1	121.15045	22.755358	265450.6396	2517201.492	2
??	Hualien	2.97	15.8	121.599769	23.971306	311035.7319	2651975.171	2
??	Yangming	3.96	55	121.529583	25.182722	303377.2655	2786121.42	2
??	Yilan	3.11	23.3	121.746394	24.747917	325495.3942	2738062.753	2
??	Dongshan	2.36	10.5	121.792928	24.632203	330276.4487	2725272.259	2
??	Sanchong	2.65	14.6	121.493806	25.072611	299815.8397	2773911.122	2
??	Zhongli	3.32	21.6	121.221667	24.953278	272383.556	2760620.856	2
??	Zhushan	1.99	11.2	120.677306	23.756389	217106.971	2628081.672	2
??	Yonghe		2.4	121.516306	25.017	302109.2082	2767759.828	2
??	Fuxing	1.77	12	120.312017	22.608711	179270.4418	2501118.895	2
??	Puli	2.1	19.9	120.967903	23.968842	246733.614	2651572.87	2
??	Matsu	1.52	5.7	119.9314938	26.15188416	143168.4096	2893811.43	2
??	Kinmen	1.18	8.3	118.312256	24.432133	-22600.7287	2705527.895	2
??	Magong	1.24	3.7	119.566158	23.569031	103626.4632	2608028.345	2
??	Guanshan	1.15	10.9	121.161933	23.045083	266594.619	2549284.521	2
??	Mailiao	1.58	5.2	120.251825	23.753506	173733.7193	2627925.665	2
???	FugueiCape	1.88	8.1	121.5365689	25.29681695	173733.7193	2627925.665	2
??	Dacheng	1.47	4.4	120.2696417	23.85493056	175607.7527	2639149.039	2
??	Keelung	1.41	11.6	121.760056	25.129167	326641.0947	2780300.361	3
??	Xizhi	1.36	5.7	121.64081	25.06624	314649.5064	2773267.652	3
??	Wanli	1.94	10.6	121.689881	25.179667	319536.0581	2785856.183	3
??	Xindian	1.69	8.3	121.537778	24.977222	304293.8287	2763362.251	3
??	Tucheng	2.5	52.2	121.451861	24.982528	295617.6015	2763918.33	3
??	Banqiao	1.95	9.9	121.458667	25.012972	296293.3026	2767292.737	3
??	Xinzhuang	1.55	7.2	121.4325	25.037972	293643.389	2770053.158	3
??	Cailiao	1.87	9.1	121.481028	25.06895	298528.2	2773500.962	3
??	Linkou	2.02	10.8	121.3654898	25.07798949	286869.3782	2774465.731	3
??	Tamsui	1.77	6.2	121.449239	25.1645	295285.9191	2784073.597	3
??	Shilin	2.12	14.8	121.5166636	25.10334003	302108.7712	2777323.471	3
??	Zhongshan	1.86	6.4	121.526528	25.062361	303121.3595	2772788.228	3
??	Wanhua	2.49	6.81	121.507972	25.046503	301255.8092	2771024.55	3
??	Guting	2.22	7.2	121.529556	25.020608	303444.953	2768164.63	3
??	Songshan	1.76	4.8	121.578611	25.05	308381.9745	2771440.514	3
??	Datong	2.43	13.1	121.5134207	25.06331455	301798.5412	2772888.765	3
??	Taoyuan	1.6	6.7	121.3050053	24.9947107	280788.6456	2765226.36	3
??	Dayuan	1.84	6.3	121.2025147	25.06100357	270431.7556	2772549.774	3
??	Guanyin	1.62	6.2	121.0828309	25.03556747	258358.544	2769719.669	3
??	Pingzhen	0.45	2.7	121.203986	24.952786	270598.2355	2760563.563	3
??	Longtan	3.08	22.6	121.2164577	24.86400048	271873.2622	2750731.543	3
??	Hukou	3.37	13.8	121.0388689	24.90009696	253926.5933	2754712.78	3
??	Zhudong	2.33	5.9	121.0889549	24.74091408	258997.847	2737084.183	3
??	Hsinchu	3.32	16.3	120.9723675	24.8056356	247206.4037	2744249.997	3
??	Toufen	2.27	6.5	120.8986929	24.69690679	239749.1152	2732210.903	3
??	Miaoli	2.28	6	120.8201147	24.56499183	231778.9513	2717608.589	3
??	Sanyi	1.94	5.3	120.7595675	24.38248443	225610.8072	2697404.393	3
??	Fengyuan	1.93	4.6	120.7425241	24.25699731	223856.2162	2683509.479	3
??	Shalu	1.61	4	120.568794	24.225628	206204.9642	2680078.798	3
??	Dali	1.95	5.9	120.6784444	24.09961111	217309.5348	2666092.325	3
??	Zhongming	1.98	5.8	120.641092	24.151958	213526.9718	2671898.973	3
??	Xitun	1.05	11.2	120.616917	24.162197	211073.3337	2673039.462	3
??	Changhua	1.67	5.3	120.541519	24.066	203376.8957	2662408.563	3
??	Xianxi	2.33	17.3	120.469061	24.131672	196036.0031	2669707.797	3
??	Erlin	2.77	11.4	120.409653	23.925175	189901.7565	2646862.1	3
??	Nantou	1.89	10.1	120.685306	23.913	217960.9325	2645423.87	3
??	Douliu	2.08	11.2	120.544994	23.711853	203604.1387	2623186.376	3
??	Lunbei	1.95	9.7	120.348742	23.757547	183615.4515	2628324.597	3
??	Xingang	2.01	6.7	120.345531	23.554839	183185.239	2605876.77	3
??	Puzi	2.07	4.3	120.2478	23.46538	173155.6228	2596018.432	3
??	Taixi	3.12	9.3	120.1993333	23.702175	168350.7048	2622269.861	3
??	Chiayi	2.15	9.5	120.4412515	23.46477865	192918.7784	2595861.802	3
??	Xinying	3.34	11.9	120.31725	23.305633	180167.1651	2578292.065	3
??	Shanhua			120.2974053	23.11337642	178034.4504	2557010.964	3
??	Annan	2.08	6.4	120.2175	23.048197	169810.9055	2549834.555	3
??	Tainan	2.2	17.4	120.22085	22.99123	170120.6725	2543524.177	3
??	Meinong	2.22	8.5	120.530542	22.883583	201833.2379	2531468.788	3
??	Qiaotou	2.34	8.8	120.305689	22.757506	178696.8572	2517598.62	3
??	Renwu	2.58	17.7	120.332631	22.689056	181429.6846	2510006.131	3
??	Fengshan	2.21	24.3	120.357422	22.628126	183947.8166	2503247.93	3
??	Daliao	2.29	7.1	120.425311	22.56413611	190899.162	2496133.724	3
